Code,Message
1,Releated with Message(1-1000)
10001,ַהÊ Ûםׁ דÊױב
10002,-
10003,-
10004,-
2,Releated with Interface(20000)
20001,ÊÞֿד
20100,ַּׁם ַבַÊױַב...
20101,ÊדÊ דÞַ״Úֹ ַבÚֿ ַבÊהַׂבם דה Þָב %s
20102,%s Ûַֿׁ ַבÛׁÝֹ
20103,%s Êד ״ֿׁו
20104,Ýװב Ýם ֵהװֱַ ÛׁÝֹ דַָׁםַÊ
20201,Êד װֱַׁ ַבֳַֹֿ
20202,Êד ַ׃Êַָֿב ַבֳַֹֿ ָהַּֽ
20203,Êד װֱַׁ ַבדוַֹׁ ָהַּֽ
20204,Êד װֱַׁ ַבֵֽÊÝַב ָהַּֽ
20205,Êד ֵהוֱַ ַבÊֿׁםָ ָהַּֽ
20206,ÊדÊ ֵײַÝֹ ַבֳַֹֿ ֵבל Þֶַדֹ ַבֳדהםַÊ
20207,בÞֿ ÞדÊ ד׃ָÞַ ֵָײַÝֹ ַבֳַֹֿ ֵבל Þֶַדֹ ַבֳדהםַÊ
20208,Êד ֽ׀Ý ַבֳַֹֿ דה Þֶַדֹ ַבֳדהםַÊ
20209,ו׀ו ַבֳַֹֿ Ûםׁ דזּזֹֿ
20210,ַהÊ ÊֽÊַּ 500 הÞ״ֹ בÊׁל ַבֳֿזַÊ ַבּֿםֹֿ. וב ÊׁÛָ ÝÚבַ Ýם ַבÞםַד ָ׀בß¿
20300,בַ םדßהß ÊÛםםׁ ־םַַׁÊ ַבÊֽßד ַבַה
20301,בַ םדßהß ÊÛםםׁ ־םַַׁÊ ַבÝםֿםז ַבַה
20400,Þׁםַָ
20500,בד ÊÞד ַָ־Êםַׁ װ־ױםֹ
20600,ַבװַװֹ בֿםß בַ ÊÊזַÝÞ ֿÞÊוַ דÚ ַבֿÞֹ ַבד״בזָֹ 1280*720
20700,Êד ÊÛםםׁ ־םַַׁÊ ַבבÚָֹ.ב״Ýַ ֳÚֿ ÊװÛםב ַבבÚָֹ ֽÊל םÊד Ê״ָםÞוַ 
20800,Êד ַבÞםַד ָו ד׃ָÞַ
20900,ֳהÊ בד ÊÞד ָÊ״זםׁדׁßׂ װ־ױםÊß. ַהÊÞב ֵבל ַבױÝֹֽ דה ֳּב ַבÚדב
21000,Êד ÊÛםםׁ ַÚַַֿֿÊ Anti aliasing.ב״Ýַ ֳÚֿ ÊװÛםב ַבבÚָֹ ֽÊל םÊד Ê״ָםÞוַ 
22000,ַבָ״ַÞַÊ םדßה ֿדּוַ דה הÝ׃ ַבדׁÊָֹ ÝÞ״
23000,בַ םזּֿ דבÝַÊ דֹֽֿֿ
24000,Êד ַÚ״ֶַß ָ״ַÞֹ ßדָםזÊׁ \ ַבֱַּׁ ַבÊֳßֿ דה ַבד־ׂה בֿםß
25000,Register Starting member first.
3,Related with Protocol(10011)
100011,ַבהÙַד זַּו דװßבֹ
100013,ַבֽ׃ַָ Ûםׁ דזּזֿ
100014,ßבדֹ ַבדׁזׁ ־ַ״ֶֹ
100015,ַבֽ׃ַָ דÞÝב
100024, ַהÊ דÊױב ַָבÝÚב. וב ÊׁÛָ ָÞ״Ú ַבֵÊױַב Úהו¿
100099,־״ֳ Ýם ֵÚַַֿֿÊ ַבׁ׃ֶַב
120213,ו׀ַ ַבַ׃ד ד׃Ê־ֿד. ַבֱַּׁ ַ־Êםַׁ ַ׃ד ַ־ׁ
120214,בַ םדßהß ַ׃Ê־ַֿד ו׀ו ַבßבדֹ בַ׃ד ַבװ־ױםֹ 
120215,בַ םדßהß ַהװֱַ ַבדׂםֿ דה ַבװ־ױםַÊ
120314,־״ֳ Ýם ßבדֹ ַבדׁזׁ
120315,Úבםß ֳה ÊהÊÙׁ ׃ָÚֹ ֳםַד Úבל ַבֳÞב 
120316,ַבװ־ױםֹ Ûםׁ דזּזֹֿ
120513,ו׀ַ ַבַ׃ד ד׃Ê־ֿד ד׃ָÞַ
120514,בַ םדßהß ַ׃Ê־ַֿד ו׀ו ַבßבדֹ בַ׃ד ַבװ־ױםֹ 
130113,ַבד־ֿד Ûםׁ דזּזֿ
130114,ַבד־ֿד בַ םÚדב ַבַה
200001,ַבװ־ױםֹ דÊױבֹ ד׃ָÞַ
200010,דװßבֹ ַבַ־ÊַׁÞ דÊÚבÞֹ ָװ־ױםÊß  Þֿ ַßÊװÝÊ
200011,ַבד־ֿד דדÊבֶ
200212,Ýװב Ýם ֱַַּׁ ַÊױַב UDP
200213,ו׀ַ ַבַ׃ד ד׃Ê־ֿד ד׃ָÞַ
200214,ַבֱַּׁ ßÊַָֹ ַבַ׃ד
